building_area,living_area,population_balanced,y,x,building_id
6138.36,51562.2,1159,"59.83929714","30.11172050",0
11212,78484,1821,"59.84196114","30.11518766",1
1046.72,6594.33,145,"59.84434554","30.11537938",2
4037.95,33918.8,779,"59.83720016","30.11066992",3
5122.66,28686.9,637,"59.83995303","30.09906094",4
3718.76,20825,471,"59.84303885","30.10346093",5
1469.01,8226.45,198,"59.83928254","30.10061717",6
3733.83,20909.5,483,"59.84289989","30.10144716",7
1900.36,15963.1,328,"59.84069846","30.10528747",8
6130.57,51496.8,1153,"59.84364294","30.10805798",9
1391.32,7791.4,156,"59.84197918","30.10143895",10
12980.7,109038,2504,"59.84197563","30.11249814",11
7141.84,59991.4,1314,"59.83811022","30.10786351",12
3482.09,19499.7,419,"59.83995440","30.10296351",13
1335.81,7480.52,151,"59.84204555","30.10385265",14
1790.6,15041.1,335,"59.83688918","30.11190857",15
9858.22,82809.1,1810,"59.83910064","30.10483402",16
5985.16,50275.3,1067,"59.84346438","30.11046776",17
3647.03,20423.4,441,"59.83890307","30.10248859",18
9546.14,80187.6,1771,"59.84298515","30.10556813",19
3802.05,21291.5,501,"59.84138422","30.09933048",20
3511.53,19664.6,429,"59.84119712","30.10309378",21
2919.34,24522.5,565,"59.84187321","30.10627522",22
3527.73,19755.3,485,"59.84286994","30.09924842",23
1628.91,13682.9,315,"59.83720944","30.10852982",24
3527.73,19755.3,485,"59.84282703","30.09703887",25
3527.73,19755.3,485,"59.84277728","30.09492616",26
3802.05,21291.5,501,"59.84149453","30.09719211",27
3802.05,21291.5,501,"59.84163222","30.09503446",28
1790.6,15041.1,335,"59.83811993","30.11203022",29
6138.36,51562.2,1159,"59.83920592","30.11462547",30
6138.36,51562.2,1159,"59.83786625","30.11453172",31
3527.73,19755.3,485,"59.84242619","30.09274040",32
3527.73,19755.3,485,"59.84470218","30.09252021",33
3527.73,19755.3,485,"59.84721856","30.09244330",34
3733.83,20909.5,483,"59.84848542","30.09453968",35
3733.83,20909.5,483,"59.84931755","30.09663387",36
3733.83,20909.5,483,"59.84816220","30.09665841",37
3802.05,21291.5,501,"59.84682120","30.09679999",38
1391.32,7791.4,156,"59.84770462","30.09455437",39
1628.91,13682.9,315,"59.83653733","30.11358343",40
1790.6,15041.1,335,"59.83645150","30.11511099",41
5122.66,28686.9,637,"59.84785212","30.10574237",42
1335.81,7480.52,151,"59.84812023","30.11128158",43
1335.81,7480.52,151,"59.84828835","30.11036223",44
1469.01,8226.45,198,"59.84704091","30.11011566",45
1469.01,8226.45,198,"59.84756184","30.10982962",46
1469.01,8226.45,198,"59.84696680","30.11152251",47
1469.01,8226.45,198,"59.84745028","30.11083400",48
1469.01,8226.45,198,"59.84886697","30.10998990",49
1469.01,8226.45,198,"59.84868849","30.11129436",50
1469.01,8226.45,198,"59.84799911","30.10959269",51
1335.81,7480.52,151,"59.84549076","30.11527565",52
1335.81,7480.52,151,"59.84549269","30.11638404",53
5985.16,50275.3,1067,"59.84597123","30.10601498",54
5985.16,50275.3,1067,"59.84606783","30.10844998",55
2919.34,24522.5,565,"59.84475435","30.09740616",56
1469.01,8226.45,198,"59.84880453","30.10271469",57
